"carrier_id","date_pulled","cargo_carried"
1,"5/26/2023","{PASSENGERS,""TECHNICIANS AND TEST ENGINEERS""}"
10000,"5/26/2023",{LIQUIDS/GASES}
1000000,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",GARBAGE,REFUSE,TRASH,CONSTRUCTION}"
1000002,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,CONSTRUCTION}"
1000004,"5/26/2023","{GRAIN,FEED,HAY,""PAPER PRODUCTS"",""FARM SUPPLIES""}"
1000008,"5/26/2023","{""FARM SUPPLIES""}"
1000012,"5/26/2023","{""HVAC EQUIPMENT""}"
1000013,"5/26/2023","{PASSENGERS,""K-12 SCHOOL AGED STUDENTS""}"
1000014,"5/26/2023",{CONSTRUCTION}
1000015,"5/26/2023",{GRAVEL}
1000017,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
100002,"5/26/2023","{""GENERAL FREIGHT"",""COMMODITIES DRY BULK"",SAND,GRAVEL,STEEL}"
1000021,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""FARM SUPPLIES"",CONSTRUCTION}"
1000022,"5/26/2023","{""GENERAL FREIGHT""}"
1000023,"5/26/2023","{""HOUSEHOLD GOODS""}"
1000025,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,""MOTOR VEHICLES"",MACHINERY,""LARGE OBJECTS""}"
1000030,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000035,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS""}"
1000050,"5/26/2023","{""AUTO PARTS DELIVERY""}"
1000058,"5/26/2023","{""GENERAL FREIGHT"",""BUILDING MATERIALS"",""FARM SUPPLIES""}"
1000061,"5/26/2023","{""BUILDING MATERIALS""}"
1000062,"5/26/2023","{""GENERAL FREIGHT"",""AGRICULTURE EXEMPT COMMODITIES""}"
1000066,"5/26/2023","{""GENERAL FREIGHT"",""METAL; SHEETS"",COILS,ROLLS,LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS""}"
1000076,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION,ROCK}"
1000077,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",""REFRIGERATED FOOD""}"
1000078,"5/26/2023","{""PAPER PRODUCTS""}"
1000079,"5/26/2023","{""GENERAL FREIGHT"",""METAL; SHEETS"",COILS,ROLLS,LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS""}"
100008,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000080,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS"",""BUILDING MATERIALS"",STOVES-FIREPLACES}"
1000081,"5/26/2023","{""SCRAP RECYCLING & SALT""}"
1000093,"5/26/2023","{""GENERAL FREIGHT""}"
1000095,"5/26/2023","{""GENERAL FREIGHT""}"
1000096,"5/26/2023","{""DOORS FRAMES HARDWARE""}"
1000098,"5/26/2023","{DIRT,ROCK,ASPHALT}"
1000099,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS"",""MOTOR VEHICLES""}"
1000101,"5/26/2023","{""COMMODITIES DRY BULK"",ROCK,GRAVEL}"
1000102,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000105,"5/26/2023","{""FRESH PRODUCE"",""REFRIGERATED FOOD"",BEVERAGES}"
