"carrier_id","type","date_pulled","owned","term_leased","trip_leased"
1,Truck Tractors,"5/26/2023",3,0,0
1,Trailers*,"5/26/2023",3,0,0
1,Motor Coach,"5/26/2023",1,0,0
10000,Hazmat Cargo Tank Trailers*,"5/26/2023",1,0,0
10000,Hazmat Cargo Tank Trucks,"5/26/2023",1,0,0
1000000,Straight Trucks,"5/26/2023",1,0,0
1000000,Trailers*,"5/26/2023",1,0,0
1000002,Straight Trucks,"5/26/2023",1,0,0
1000002,Trailers*,"5/26/2023",1,0,0
1000004,Truck Tractors,"5/26/2023",2,0,0
1000004,Trailers*,"5/26/2023",0,0,1
1000008,Straight Trucks,"5/26/2023",4,0,0
1000012,Straight Trucks,"5/26/2023",24,0,0
1000012,Trailers*,"5/26/2023",8,0,0
1000013,Trailers*,"5/26/2023",1,0,0
1000013,School Bus 16+,"5/26/2023",58,0,0
1000013,Mini-Bus 16+,"5/26/2023",20,0,0
1000013,Van 1-8*,"5/26/2023",5,0,0
1000014,Straight Trucks,"5/26/2023",1,0,0
1000015,Straight Trucks,"5/26/2023",1,0,0
1000017,Straight Trucks,"5/26/2023",13,0,0
100002,Truck Tractors,"5/26/2023",22,23,0
1000021,Straight Trucks,"5/26/2023",1,0,0
1000021,Trailers*,"5/26/2023",1,0,0
1000022,Straight Trucks,"5/26/2023",1,0,0
1000023,Straight Trucks,"5/26/2023",1,0,0
1000025,Straight Trucks,"5/26/2023",1,0,0
1000030,Straight Trucks,"5/26/2023",4,0,0
1000030,Truck Tractors,"5/26/2023",3,0,0
1000030,Trailers*,"5/26/2023",3,0,0
1000035,Straight Trucks,"5/26/2023",5,0,0
1000035,Truck Tractors,"5/26/2023",7,0,0
1000035,Trailers*,"5/26/2023",14,0,0
1000050,Straight Trucks,"5/26/2023",1,0,0
1000058,Straight Trucks,"5/26/2023",0,2,0
1000058,Truck Tractors,"5/26/2023",1,20,0
1000058,Trailers*,"5/26/2023",43,0,0
1000061,Straight Trucks,"5/26/2023",2,0,0
1000062,Truck Tractors,"5/26/2023",1,0,0
1000062,Trailers*,"5/26/2023",1,0,0
1000066,Truck Tractors,"5/26/2023",6,0,0
1000066,Trailers*,"5/26/2023",8,0,0
